kind,homebrew,recommended_port,confidence,reason,alternatives,review_status
formula,apktool,apktool,1.0,exact name,atool; optool; R-maptools; epstool,recommended
formula,asciidoc,asciidoc,1.0,exact name,asciidoctor; asciidoctorj; ascii; scdoc,recommended
formula,at-spi2-core,at-spi2-core,1.0,exact name,bats-core; xapian-core; ALPSCore; epic-lore,recommended
formula,azcopy,R-DNAcopy,0.714,heuristic,aop; comply; mactop; cl-metacopy,needs-review
formula,boost,boost,1.0,exact name,R-mboost; R-boot; broot; R-RRBoost,recommended
formula,brew2port,R-report,0.75,heuristic,R-qreport; R-regport; R-reportr; pub2port,needs-review
formula,cargo-c,cargo-c,1.0,exact name,cargo; argocd; argc; croc,recommended
formula,cmark,cmark,1.0,exact name,R-mark; cmake; mmark; cl-markup,recommended
formula,curl,curl,1.0,exact name,R-curl; wcurl; R-RCurl; coeurl,recommended
formula,dnsglobe,xglobe,0.714,heuristic,R-glober; dbus-glib; demangle; py-dnslib,needs-review
formula,docker,docker,1.0,exact name,py-docker; dockerize; mockery; lazydocker,recommended
formula,dos2unix,dos2unix,1.0,exact name,dcm2niix; dosmacux; R-unix; osx2x,recommended
formula,emacs,emacs,1.0,exact name,xemacs; TeXmacs; emacs-app; emacs-w3m,recommended
formula,ffmpeg,ffmpeg,1.0,exact name,ffmpeg4; ffmpeg6; ffmpeg7; ffmpeg8,needs-review
formula,gcc,gcc5,0.857,heuristic,gcc6; gcc7; gcc8; gcc9,needs-review
formula,gdk-pixbuf,gdk-pixbuf2,0.947,heuristic,rb-gdk_pixbuf2; rb31-gdk_pixbuf2; rb32-gdk_pixbuf2; rb33-gdk_pixbuf2,recommended
formula,get_iplayer,get_iplayer,1.0,exact name,MPlayer; NicePlayer; spotify-player; R-timeplyr,recommended
formula,gh,gh,1.0,exact name,R-gh; ghc; ghq; ghz,recommended
formula,ghostscript,ghostscript,1.0,exact name,p5-postscript; rust-script; py-photoscript; p5.28-postscript,recommended
formula,git,git,1.0,exact name,GitX; cgit; gitg; gitu,recommended
formula,git-lfs,git-lfs,1.0,exact name,gitless; py-gitfs; git-cliff; git-tools,recommended
formula,git-svn,gitsign,0.769,heuristic,git; git-cvs; git-lfs; gtk-vnc,needs-review
formula,gnutls,gnutls,1.0,exact name,mod_gnutls; gc-utils; gputils; gnats,recommended
formula,gpac,gpac,1.0,exact name,gpatch; gmpc; grpc; poac,recommended
formula,gsettings-desktop-schemas,gsettings-desktop-schemas,1.0,exact name,gnome-settings-daemon,recommended
